date_id,shop_id,item_id,item_price,date_block_num,item_cnt_day
352,14,18452,199,11,1
999,47,15040,599,32,1
237,57,13039,99,9,1
88,26,20949,5,4,1
76,56,15443,549,3,1
392,17,17833,249,13,1
269,30,16531,349,8,1
53,38,2448,999,1,2
237,57,19415,649,7,1
805,53,5655,1290,27,1
749,50,7856,799,24,1
694,30,16135,349,23,1
541,15,1856,0.5,18,1
513,57,4646,299,16,1
441,6,20366,1199,15,1
19,0,18919,255,1,6
113,27,6010,1999,4,1
4,25,1830,599,0,2
363,25,15833,149,11,1
327,25,10084,149,10,1
170,47,18491,199,6,1
372,29,1007,599,12,1
210,16,534,399,7,1
538,27,7808,2599,17,1
85,45,16189,249,4,1
868,27,11069,399,29,1
53,31,1985,1398,1,1
936,31,8452,2490,31,1
12,45,6622,599,0,1
209,25,21980,249,8,1
50,44,8325,199,2,1
24,31,1279,299,0,1
141,56,16451,159.2,5,1
742,44,6307,299,25,1
635,4,14227,99,22,2
726,25,3928,1799,23,1
352,31,6466,349.5,11,1
27,28,6045,299,1,1
139,22,10193,299.5,5,1
1,8,8617,149,0,1
536,12,15774,299,18,1
932,41,13889,229,31,1
474,7,12473,199,15,1
423,50,9842,99,13,1
938,26,968,98,31,1
173,7,11204,149,5,1
971,35,2578,349,31,1
390,15,3331,599.5,13,2
267,30,9781,399,8,1
77,16,14907,299,3,1
453,37,16748,349,16,1
727,5,22073,99,23,1
627,6,8686,199,21,1
352,46,7256,349,11,1
690,30,2430,2999,23,1
633,28,1916,249,21,1
6,25,15016,249,0,1
268,44,32,149,9,1
602,28,14305,399,21,1
508,21,8684,199,17,1
13,7,13157,249,1,1
4,7,4241,1399,0,1
18,25,14763,199,0,1
27,38,2308,849,1,1
395,57,2416,449,12,1
965,57,3341,749,32,1
848,31,4872,1199,29,1
263,24,2412,5490,8,1
331,51,9895,110,10,1
380,50,17302,399,13,1
870,53,16287,199,28,1
352,42,19067,599,11,2
370,28,16359,249,12,1
150,25,3540,349,4,1
479,5,8130,209.33,16,1
51,10,22088,44,2,1
694,54,45,299,22,1
27,46,6467,399,0,1
901,27,8455,3690,29,1
57,14,17836,199,1,1
697,25,14053,399,23,1
326,45,4353,1899,10,1
199,51,2754,1590,6,1
759,25,2594,1999,24,1
564,57,77,399,18,2
758,7,21898,374.31,25,1
26,43,14169,349,0,1
115,45,1833,599.5,5,1
606,42,15035,429,20,1
115,44,12860,99,3,1
606,57,15150,299,21,1
388,10,1809,368,12,1
760,49,6710,599,25,1
138,42,19537,549,4,1
267,51,20301,265,8,1
567,53,5380,3390,19,1
964,25,1389,1398,32,1
211,52,2915,2999,8,1
266,25,20045,199,9,1
86,54,21376,399,3,2
208,54,2416,449,8,1
814,31,12054,149,26,1
299,38,3047,1299,11,1
416,56,3476,399.5,13,4
908,42,4248,1999,30,1
452,15,11065,199,15,1
734,42,18339,299,24,1
813,39,2760,399,28,1
80,44,13187,399,2,1
294,25,20065,249,9,1
294,57,2854,199,9,1
420,12,6675,22990,15,1
662,27,18378,199,22,1
601,48,3676,525.82,20,1
231,43,18799,98.9,7,1
271,28,4669,299,10,2
113,18,9810,249,4,1
728,17,16136,1199,23,1
576,40,3734,2599,20,1
480,47,3365,799,17,1
237,31,5592,2990,9,1
635,54,3340,1499,20,1
939,18,4478,1199,31,1
175,31,13797,199,5,1
569,6,13159,199,18,1
206,21,8031,299,7,1
567,40,15217,849,19,1
28,44,3427,799,0,1
84,25,17794,149,4,1
728,53,1289,149,23,1
636,6,10099,549,20,1
848,31,19161,399,27,1
845,39,22076,28,27,1
876,19,10453,449,29,1
476,10,3814,284,15,1
323,25,20161,699,10,2
631,4,15866,959,20,1
513,44,4178,1589.5,17,1
117,18,8315,499,4,1
370,16,12107,499,12,1
211,58,2708,1699,6,1
849,22,17717,2759.666667,27,3
872,25,4895,3999,28,1
266,35,11459,749,8,1
149,31,22091,109,4,1
662,55,3134,1090,21,1
170,56,4910,419,5,1
995,46,11703,449,33,2
232,50,16316,999,7,1
417,41,10348,149,14,1
12,22,49,249,1,1
441,6,21863,749,14,1
964,16,15213,999,32,1
478,21,8602,58,16,1
452,16,8060,3199,14,1
377,50,10961,349,13,1
418,53,7942,14490,13,1
294,50,4129,1290,10,1
444,42,8058,500,15,3
817,54,18625,399,26,1
370,44,5323,299,12,1
179,57,10272,559,5,1
119,54,13810,1599,5,1
783,51,5361,21.58,25,1
815,27,7798,1798,26,1
698,52,3460,1299,22,1
175,29,7213,899,5,1
148,37,20141,0.1,5,1
112,25,12015,149,4,1
732,29,16113,1449,24,1
970,59,1556,999.5,31,1
846,58,15266,699,28,1
451,50,13451,14989.8,16,1
264,50,3719,599,8,1
660,59,6675,17991,22,1
1,52,20388,1599,0,1
201,57,17181,399,6,1
140,10,12734,225,5,1
813,46,9497,99,28,1
303,27,1810,999,9,1
3,7,6056,299,0,1
51,24,2680,898.5,1,1
27,54,4712,299,1,2
119,38,6739,2999,4,1
25,35,20235,299,0,1
450,16,4394,2599,15,1
1022,28,3350,2999,33,1
479,51,14164,167,15,1
690,31,975,299,22,1
813,15,4717,299,28,1
84,53,3439,2799,3,1
515,19,6466,699,16,1
117,47,16900,399,5,1
27,26,14730,399,1,3
603,5,7050,1699,19,1
114,24,6027,299,4,1
544,28,2124,599,17,1
25,42,16612,549,2,1
367,25,16209,299,12,2
205,15,18943,290.51,7,1
354,50,17110,299,11,1
327,31,12541,199,11,1
445,18,5821,649,14,1
233,50,11812,299,8,1
543,54,17397,199,17,1
10,19,16159,629,0,1
79,18,6954,419,3,3
454,53,1853,1799,15,1
269,31,8315,299,10,1
174,42,9591,399,5,1
966,34,21624,299,33,1
787,42,9451,399,27,1
962,42,13317,649,31,1
75,31,9871,149,3,1
509,24,19894,549,16,1
328,27,1502,2299,10,1
85,57,1913,249,2,1
566,7,8672,149,18,1
564,27,7397,299,19,1
819,37,10613,599,27,1
719,58,10325,149,23,1
877,6,11207,399,28,1
